Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
2010-655967	SFD	NULL	FINALED	SFD	461 MARICH WY	17004005	9/15/2010	3/18/2011	12/1/2011
2010-655974	DEMOLITION	NULL	FINALED	Demo	111 S EL MONTE AV	18954051	9/16/2010	9/16/2010	10/1/2010
2010-655975	PHOTOVOLTAIC	NULL	FINALED	PV	1138 LAURELES DR	16710039	9/17/2010	9/17/2010	11/24/2010
2010-655980	SFD	NULL	FINALED	SFD	706 N SAN ANTONIO RD	16723091	9/20/2010	6/3/2011	4/15/2015
2010-655986	PHOTOVOLTAIC	NULL	FINALED	PV	569 LASSEN ST	17038024	9/21/2010	9/21/2010	3/24/2011
2010-655996	DEMOLITION	NULL	FINALED	Demo	1721 ASKAM LN	31823010	9/22/2010	9/22/2010	9/23/2010
2010-656002	DEMOLITION	SWIMMING POOL	FINALED	Pool demo	370 YERBA BUENA AV	16733019	9/23/2010	9/23/2010	10/7/2010
2010-656006	PHOTOVOLTAIC	NULL	FINALED	PV	1771 HAVENHURST DR	19704027	9/23/2010	9/23/2010	10/22/2010
2010-656008	PHOTOVOLTAIC	NULL	FINALED	PV	416 ALICIA WY	17018042	9/23/2010	9/23/2010	12/22/2010
2010-656009	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	154 BRIDGTON CT	16731043	9/23/2010	9/23/2010	10/20/2010
2010-656012	DEMOLITION	NULL	ISSUED	Demo	135 LYELL ST	17040008	9/24/2010	9/24/2010	NULL
2010-656018	DEMOLITION	NULL	FINALED	Demo	184 DEL MONTE AV	16718020	9/27/2010	9/27/2010	9/30/2010
2010-656042	DEMOLITION	SWIMMING POOL	FINALED	Pool demo	975 HAYMAN PL	19327035	10/1/2010	10/1/2010	10/21/2010
2010-656052	DEMOLITION	NULL	FINALED	Demo	1840 ALFORD AV	31817028	10/4/2010	10/4/2010	10/6/2010
2010-656056	DEMOLITION	NULL	FINALED	Demo	1676 GRANT RD	31802022	10/5/2010	10/5/2010	3/17/2011
2010-656063	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	1409 MARINOVICH WY	19718051	10/5/2010	10/5/2010	10/22/2010
2010-656071	DEMOLITION	NULL	FINALED	Demo	495 W UNIVERSITY AV	17515024	10/6/2010	10/6/2010	10/12/2010
2010-656078	PHOTOVOLTAIC	NULL	FINALED	PV	1520 TIPTOE LN	19702050	10/7/2010	10/7/2010	11/2/2010
2010-656084	DEMOLITION	NULL	FINALED	Demo	791 LINDEN AV	16722009	10/8/2010	10/8/2010	10/15/2010
2010-656087	PHOTOVOLTAIC	NULL	FINALED	PV	1179 ORILLA CT	16710025	10/8/2010	10/8/2010	11/30/2010
2010-656093	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	962 RIVERSIDE DR	18942027	10/11/2010	10/11/2010	10/27/2010
2010-656099	PHOTOVOLTAIC	NULL	FINALED	PV	921 PARMA WY	18942030	10/12/2010	10/12/2010	12/10/2010
2010-656100	PHOTOVOLTAIC	NULL	FINALED	PV	1375 MONTCLAIRE CT	34209058	10/12/2010	10/12/2010	11/30/2010
2010-656119	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	609 SPARGUR DR	17020011	10/15/2010	10/15/2010	2/1/2011
2010-656128	PHOTOVOLTAIC	NULL	FINALED	PV	1424 MIRAVALLE AV	19719107	10/18/2010	10/18/2010	11/22/2010
2010-656129	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	965 LEONELLO AV	18920010	10/18/2010	10/18/2010	1/12/2011
2010-656138	DEMOLITION	NULL	FINALED	Demo	15 N EL MONTE AV	18935027	10/19/2010	10/19/2010	10/21/2010
2010-656144	DEMOLITION	SWIMMING POOL	FINALED	Swp Demo	417 BECKER LN	16727083	10/20/2010	10/20/2010	11/16/2010
2010-656146	PHOTOVOLTAIC	NULL	ISSUED	SolarWaterHeat	110 FIRST ST	16739134	10/21/2010	10/21/2010	NULL
2010-656163	DEMOLITION	NULL	FINALED	Demo	438 PACO DR	18953007	10/25/2010	10/25/2010	10/27/2010
2010-656164	PHOTOVOLTAIC	NULL	FINALED	PV	416 LERIDA AV	18951054	10/25/2010	10/25/2010	9/1/2011
2010-656167	SFD	NULL	FINALED	SFD	551 PALM AV	17516075	10/27/2010	4/1/2011	9/16/2011
2010-656171	DEMOLITION	MAIN STRUCTURE	FINALED	Demo	62 S CLARK AV	18954052	10/27/2010	10/27/2010	11/3/2010
2010-656180	PHOTOVOLTAIC	NULL	FINALED	PV	715 DEL CENTRO WY	18950041	10/29/2010	10/29/2010	11/12/2010
2010-656183	SFD	NULL	FINALED	New SFD	777 EDGEWOOD LN	17518059	10/29/2010	3/28/2011	6/4/2012
2010-656186	PHOTOVOLTAIC	NULL	FINALED	PV	1540 QUEENSBURY AV	19715036	11/1/2010	11/1/2010	1/27/2011
2010-656194	DEMOLITION	NULL	FINALED	Partial Demo	930 BERRY AV	18912054	11/2/2010	11/2/2010	11/22/2010
2010-656214	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	222 HILLVIEW AV	17026027	11/4/2010	11/4/2010	4/21/2011
2010-656217	SFD	NULL	FINALED	SFD	754 FILIP RD	18919025	11/4/2010	4/25/2011	1/11/2012
2010-656233	DEMOLITION	NULL	FINALED	Demo	235 FREMONT AV	18948025	11/8/2010	11/8/2010	1/28/2011
2010-656243	PHOTOVOLTAIC	NULL	FINALED	PV	1676 KENSINGTON AV	31801020	11/10/2010	11/10/2010	12/13/2010
2010-656221	MIXED USE	NULL	FINALED	New Building	240 THIRD ST	16740081	11/10/2010	6/17/2011	12/4/2012
2010-656249	PHOTOVOLTAIC	NULL	FINALED	PV	545 PINE LN	16725074	11/12/2010	11/12/2010	12/14/2010
2010-656266	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1934 FALLEN LEAF LN	31823023	11/16/2010	11/16/2010	12/3/2010
2010-656275	PHOTOVOLTAIC	NULL	FINALED	PV	820 RAYMUNDO AV	18929080	11/16/2010	11/16/2010	12/28/2010
2010-656282	DEMOLITION	NULL	FINALED	Demo	1937 ALFORD AV	31815054	11/17/2010	11/17/2010	12/6/2010
2010-656287	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	230 N EL MONTE AV	17032033	11/18/2010	11/18/2010	12/3/2010
2010-656295	PHOTOVOLTAIC	NULL	FINALED	PV	601 TWELVE ACRES DR	16725034	11/23/2010	11/23/2010	12/16/2010
2010-656311	PHOTOVOLTAIC	NULL	FINALED	PV	65 ALVARADO AV	17012035	11/24/2010	11/24/2010	6/8/2011
2010-656321	PHOTOVOLTAIC	PV	FINALED	PV	1979 KENT DR	34226026	11/29/2010	11/29/2010	1/7/2011
2010-656325	DEMOLITION	NULL	ISSUED	Demo	108 HILLVIEW AV	17041045	11/29/2010	11/29/2010	NULL
2010-656327	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	662 LOS NINOS WY	17011032	11/30/2010	11/30/2010	8/9/2011
2010-656333	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1335 RANCHITA DR	19718016	12/1/2010	12/1/2010	1/6/2011
2010-656334	SFD	NULL	FINALED	SFD	559 CHERRY AV	16728013	12/1/2010	2/1/2011	1/4/2012
2010-656337	PHOTOVOLTAIC	NULL	FINALED	PV	1808 FARNDON AV	31818015	12/1/2010	12/1/2010	3/31/2011
