City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Dublin,3745.0,1.2853535353535352,0.37168141592920356,1.6389496717724288,1.1393367812595072,0.011214953271028037,0.0008565310492505353,0.018518518518518517,0.041666666666666664,0.02564102564102564,1 / 54,1 / 24,2 / 78
East Palo Alto,92.0,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,369.0,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,,,1.3442622950819672,0.5694444444444444,0.0,0.0,0.0,0.0,0.0,0 / 38,0 / 14,0 / 52
Fairfield,1731.0,,,0.5583870967741935,0.2697522206638616,0.0,0.0,0.0,0.0,0.0,0 / 2,0 / 77,0 / 86
Fremont,5892.0,0.44231673004531363,0.7154984838941298,1.0801099908340972,0.857354009214051,0.11456211812627291,0.012781954887218045,0.028368794326241134,0.047619047619047616,0.030864197530864196,4 / 141,1 / 21,5 / 162
Gilroy,1406.0,,,1.2922794117647058,2.2037617554858935,0.0,0.0,0.0,0.0,0.0,0 / 3,0 / 5,0 / 39
Half Moon Bay,57.0,0.8851282051282052,0.08536585365853659,0.2375,0.058762886597938144,0.24561403508771928,0.296875,0.08333333333333333,0.03669724770642202,0.020030816640986132,1 / 12,12 / 327,13 / 649
Hayward,2006.0,0.29370300751879697,0.32978723404255317,0.511734693877551,0.6700066800267201,0.023429710867397806,0.03601532567049808,0.03508771929824561,0.02631578947368421,0.02185792349726776,2 / 57,1 / 38,4 / 183
Healdsburg,241.0,0.27509803921568626,0.1891891891891892,1.535031847133758,0.49284253578732107,0.029045643153526972,0.040229885057471264,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60
Hercules,739.0,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,313.0,0.875,0.972972972972973,0.7825,0.4960380348652932,0.23003194888178913,0.07216494845360824,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1896.0,1.2766251722134077,1.1864864864864866,0.6947599853426163,0.5489287782281412,0.2468354430379747,0.11725955204216074,0.07446808510638298,0.1553398058252427,0.11386138613861387,7 / 94,16 / 103,23 / 202
Los Altos,313.0,0.9285714285714286,0.7647058823529411,0.6561844863731656,1.2155339805825243,0.04153354632587859,0.03686635944700461,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57
Los Altos Hills,114.0,0.755952380952381,0.5833333333333334,0.9421487603305785,0.3202247191011236,0.14912280701754385,0.14782608695652175,0.03361344537815126,0.2,0.06474820143884892,4 / 119,3 / 15,9 / 139
Los Gatos,119.0,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,70.0,1.0,1.0,0.14925373134328357,0.05098324836125273,0.07142857142857142,0.09259259259259259,0.0,0.02074688796680498,0.018726591760299626,0 / 26,5 / 241,5 / 267
Menlo Park,1089.0,0.5546536796536797,0.6341463414634146,1.6625954198473283,0.584092440588465,0.023875114784205693,0.0759493670886076,0.028846153846153848,0.0,0.024489795918367346,6 / 208,0 / 37,6 / 245
Mill Valley,83.0,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,18.0,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,2019.0,0.5519088923775862,0.6034682080924856,0.613677811550152,0.2517456359102244,0.6607231302625062,0.37037037037037035,0.1111111111111111,0.0,0.04093567251461988,2 / 18,0 / 7,7 / 171
Monte Sereno,42.0,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,78.0,,,0.3406113537117904,0.094316807738815,0.0,0.0,0.0,0.0,0.0,0 / 1,0 / 34,0 / 41
Morgan Hill,1779.0,0.0655570652173913,0.07272727272727272,1.9170258620689655,1.3790697674418604,0.004496908375491849,0.0057553956834532375,,0.025,0.025,0 / 0,2 / 80,2 / 80
